symbol,total_trades,win_rate,profit_factor,net_pnl,max_dd,atr_mult,min_sl,tp1,tp2,adx,session,room2h
EURUSD,28,25.0,0.37068491719079893,-12095.55849865111,11.184274392754775,1.8,15.0,1.5,2.0,20.0,peak,False
EURUSD,15,13.333333333333334,0.12215294575793462,-11365.400919746011,10.886114868053856,1.0,8.0,1.0,1.5,20.0,peak,True
EURUSD,14,14.285714285714285,0.22906176882534124,-9362.592547922482,10.663009303562097,1.0,8.0,1.2,1.8,20.0,peak,True
EURUSD,13,15.384615384615385,0.2922907786744353,-7947.842086942939,9.49167511109512,1.0,8.0,1.5,2.0,20.0,peak,True
EURUSD,14,14.285714285714285,0.134122223734183,-10360.421069733886,9.875700652349996,1.0,10.0,1.0,1.5,20.0,peak,True
EURUSD,13,15.384615384615385,0.2520448127706449,-8335.193050765156,9.650350381608728,1.0,10.0,1.2,1.8,20.0,peak,True
EURUSD,11,18.181818181818183,0.3598911175620712,-5920.994890358474,7.498820747573327,1.0,10.0,1.5,2.0,20.0,peak,True
EURUSD,14,21.428571428571427,0.19000178680687813,-8873.74539503429,8.384141083398005,1.0,12.0,1.0,1.5,20.0,peak,True
EURUSD,11,18.181818181818183,0.310563480249937,-6319.9637385944225,7.665635532901469,1.0,12.0,1.2,1.8,20.0,peak,True
EURUSD,9,22.22222222222222,0.33506293250097335,-4757.237178011856,5.478464847684568,1.0,12.0,1.5,2.0,20.0,peak,True
EURUSD,11,18.181818181818183,0.1842562878241064,-7346.180000000284,7.815922404205182,1.0,15.0,1.0,1.5,20.0,peak,True
EURUSD,9,22.22222222222222,0.23280912212284566,-5429.640000000189,6.0025264023358735,1.0,15.0,1.2,1.8,20.0,peak,True
EURUSD,4,0.0,0.0,-4070.3000000001484,3.068170278423597,1.0,15.0,1.5,2.0,20.0,peak,True
EURUSD,13,23.076923076923077,0.27676587575914313,-7318.224580995477,8.429004265272381,1.2,8.0,1.0,1.5,20.0,peak,True
EURUSD,12,25.0,0.27834870490719643,-6573.219609874228,7.14105421901172,1.2,8.0,1.2,1.8,20.0,peak,True
EURUSD,8,25.0,0.38689256936390987,-3797.382454684106,4.524490899216349,1.2,8.0,1.5,2.0,20.0,peak,True
EURUSD,13,23.076923076923077,0.27795840220126633,-7294.984689818724,8.406042901334299,1.2,10.0,1.0,1.5,20.0,peak,True
EURUSD,12,25.0,0.27963333851815014,-6549.863979525369,7.117840540843757,1.2,10.0,1.2,1.8,20.0,peak,True
EURUSD,8,25.0,0.3890881355709812,-3774.180369511276,4.501464177588625,1.2,10.0,1.5,2.0,20.0,peak,True
EURUSD,13,23.076923076923077,0.2795190602068952,-7257.276082160664,8.368786226703197,1.2,12.0,1.0,1.5,20.0,peak,True
EURUSD,11,18.181818181818183,0.21936214119721426,-7083.544415134311,7.648277343093045,1.2,12.0,1.2,1.8,20.0,peak,True
EURUSD,8,25.0,0.39163538265570846,-3746.037027363491,4.473533545471571,1.2,12.0,1.5,2.0,20.0,peak,True
EURUSD,11,18.181818181818183,0.1842562878241064,-7346.180000000284,7.815922404205182,1.2,15.0,1.0,1.5,20.0,peak,True
EURUSD,9,22.22222222222222,0.23280912212284566,-5429.640000000189,6.0025264023358735,1.2,15.0,1.2,1.8,20.0,peak,True
EURUSD,4,0.0,0.0,-4070.3000000001484,3.068170278423597,1.2,15.0,1.5,2.0,20.0,peak,True
EURUSD,11,27.27272727272727,0.26381202410638704,-5940.392650914218,6.416927266277944,1.5,8.0,1.0,1.5,20.0,peak,True
EURUSD,8,25.0,0.3283338187137085,-4116.664993608152,4.697298912401972,1.5,8.0,1.2,1.8,20.0,peak,True
EURUSD,5,20.0,0.4019652406919201,-2457.476369084383,2.0639443955647248,1.5,8.0,1.5,2.0,20.0,peak,True
EURUSD,11,27.27272727272727,0.26384117718279326,-5939.501054635635,6.416040187097632,1.5,10.0,1.0,1.5,20.0,peak,True
EURUSD,8,25.0,0.3284071473064304,-4115.296468422122,4.69593867449697,1.5,10.0,1.2,1.8,20.0,peak,True
