trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,return_pct
46,NAS100,SELL,2026-07-22 11:20:00+00:00,28970.9,29082.576491626503,28803.385262560245,28747.547016746994,29082.576491626503,111.67649162650352,167.51473743975527,223.35298325300704,0.05,0.03,0.02,False,False,False,5413.561272879052,2026-07-22 13:50:00+00:00,29082.576491626503,SL,150.0,-33.5,-22.34,0.25,-56.09,5357.47,-1.0361016930019913
45,XAUUSD,BUY,2026-07-22 10:20:00+00:00,4121.74,4104.25117100795,4146.22436058887,4160.21542378251,4121.74,17.48882899205004,24.484360588870054,38.475423782510084,0.03,0.01,0.02,True,True,True,5413.561272879052,2026-07-22 14:00:00+00:00,4160.21542378251,FULL_TP2,220.0,24.48,76.95,0.15,101.29,5458.76,1.8710419055833785
47,NAS100,SELL,2026-07-23 10:05:00+00:00,28902.100000000002,29051.925673193018,28677.36149021048,28602.44865361397,28902.100000000002,149.82567319301637,224.73850978952456,299.65134638603274,0.04,0.02,0.02,True,True,True,5458.7582352196905,2026-07-23 13:05:00+00:00,28602.44865361397,FULL_TP2,180.0,44.95,59.93,0.2,104.68,5563.44,1.9176522478062654
48,NAS100,SELL,2026-07-23 17:35:00+00:00,28443.5,28636.77644901215,28153.58532648177,28056.947101975693,28636.77644901215,193.27644901215342,289.91467351823013,386.55289802430684,0.03,0.01,0.02,False,False,False,5563.436206454802,2026-07-23 20:30:00+00:00,28636.77644901215,SL,175.0,-19.33,-38.66,0.15,-58.13,5505.3,-1.044857851206355
49,NAS100,SELL,2026-07-24 06:05:00+00:00,28372.4,28534.869086704275,28128.69636994359,28047.461826591454,28534.869086704275,162.4690867042735,243.70363005641025,324.938173408547,0.03,0.01,0.02,False,False,False,5505.303271751156,2026-07-24 09:05:00+00:00,28534.869086704275,SL,180.0,-16.25,-32.49,0.15,-48.89,5456.41,-0.8880528026651076
50,NAS100,SELL,2026-07-24 17:00:00+00:00,28333.7,28526.253416120082,28044.86987581988,27948.59316775984,28526.253416120082,192.55341612008036,288.83012418012055,385.1068322401607,0.03,0.01,0.02,False,False,False,5456.412545739874,2026-07-26 22:00:00+00:00,28481.2,EOD_EXIT,3180.0,-14.75,-29.5,0.15,-44.4,5412.01,-0.8137214631006147
52,XAUUSD,BUY,2026-07-27 10:35:00+00:00,4098.3099999999995,4080.724634821275,4122.929511250214,4136.997803393194,4080.724634821275,17.585365178724878,24.619511250214828,38.687803393194734,0.03,0.01,0.02,False,False,False,5412.012545739874,2026-07-27 13:25:00+00:00,4080.724634821275,SL,170.0,-17.59,-35.17,0.15,-52.91,5359.11,-0.9776400101224578
51,NAS100,BUY,2026-07-27 08:25:00+00:00,28589.699999999997,28426.11134725032,28835.082979124512,28916.87730549935,28426.11134725032,163.58865274967758,245.38297912451637,327.17730549935516,0.03,0.01,0.02,False,False,False,5412.012545739874,2026-07-27 13:30:00+00:00,28426.11134725032,SL,305.0,-16.36,-32.72,0.15,-49.23,5309.88,-0.9096431241415346
53,NAS100,SELL,2026-07-27 18:30:00+00:00,27905.300000000003,28111.124807582808,27596.562788625797,27493.650384834396,28111.124807582808,205.8248075828035,308.73721137420523,411.649615165607,0.03,0.01,0.02,False,False,False,5309.879854378796,2026-07-27 19:30:00+00:00,28111.124807582808,SL,60.0,-20.58,-41.16,0.15,-61.9,5247.98,-1.1657514237154372
54,NAS100,SELL,2026-07-28 08:05:00+00:00,27764.4,27934.716450573465,27508.925324139804,27423.76709885307,27764.4,170.31645057346572,255.47467586019857,340.63290114693143,0.03,0.01,0.02,True,False,True,5247.9824121039555,2026-07-28 15:15:00+00:00,27764.4,TP1_THEN_BE,430.0,25.55,0.0,0.15,25.4,5273.38,0.4839955244784623
55,XAUUSD,SELL,2026-07-28 08:10:00+00:00,4044.03,4059.078368140198,4022.9622846037228,4010.923590091564,4044.03,15.048368140198125,21.067715396277375,33.10640990843588,0.03,0.01,0.02,True,False,True,5247.9824121039555,2026-07-28 15:45:00+00:00,4044.03,TP1_THEN_BE,455.0,21.07,0.0,0.15,20.92,5294.3,0.3986293847279304
56,XAUUSD,SELL,2026-07-28 17:15:00+00:00,4035.07,4053.353225341492,4009.473484521912,3994.8469042487186,4053.353225341492,18.283225341491594,25.59651547808823,40.22309575128151,0.03,0.01,0.02,False,False,False,5294.297595086253,2026-07-28 22:00:00+00:00,4026.36,EOD_EXIT,285.0,8.71,17.42,0.15,25.98,5320.28,0.49071665378449025
57,NAS100,SELL,2026-07-28 19:55:00+00:00,27788.5,27996.286300705167,27476.82054894225,27372.92739858967,27996.286300705167,207.78630070516562,311.67945105774845,415.57260141033123,0.03,0.01,0.02,False,False,False,5294.297595086253,2026-07-28 22:00:00+00:00,27867.6,EOD_EXIT,125.0,-7.91,-15.82,0.15,-23.88,5296.4,-0.45105133534925435
58,NAS100,SELL,2026-07-29 08:20:00+00:00,27701.9,27925.882202813016,27365.926695780476,27253.93559437397,27925.882202813016,223.9822028130163,335.97330421952444,447.9644056260326,0.02,0.01,0.01,False,False,False,5296.397595086254,2026-07-29 09:50:00+00:00,27925.882202813016,SL,90.0,-22.4,-22.4,0.1,-44.9,5251.5,-0.8477460234793568
59,NAS100,SELL,2026-07-29 19:30:00+00:00,27479.0,27745.346302795693,27079.480545806462,26946.307394408614,27479.0,266.34630279569313,399.5194541935397,532.6926055913863,0.02,0.01,0.01,True,False,True,5251.501154523651,2026-07-29 22:00:00+00:00,27230.6,EOD_EXIT,150.0,39.95,24.84,0.1,64.69,5316.19,1.2318382515116832
60,XAUUSD,BUY,2026-07-30 12:35:00+00:00,4078.2599999999998,4051.880111133091,4115.191844413673,4136.2957555072,4078.2599999999998,26.379888866909102,36.93184441367274,58.03575550720003,0.02,0.01,0.01,True,False,True,5316.193099943005,2026-07-30 22:00:00+00:00,4103.28,EOD_EXIT,565.0,36.93,25.02,0.1,61.85,5378.04,1.1634265128680727
61,NAS100,BUY,2026-07-31 07:35:00+00:00,28440.899999999998,28250.52403495664,28726.463947565037,28821.651930086715,28250.52403495664,190.37596504335835,285.56394756503755,380.7519300867167,0.03,0.01,0.02,False,False,False,5378.044944356678,2026-07-31 13:45:00+00:00,28250.52403495664,SL,370.0,-19.04,-38.08,0.15,-57.26,5320.78,-1.0646991721421817
62,XAUUSD,SELL,2026-07-31 11:35:00+00:00,4052.82,4072.4973057384373,4025.271771966188,4009.5299273754385,4052.82,19.67730573843717,27.548228033812038,43.29007262456177,0.03,0.01,0.02,True,False,True,5378.044944356678,2026-07-31 15:15:00+00:00,4052.82,TP1_THEN_BE,220.0,27.55,0.0,0.15,27.4,5348.18,0.5094788214581868
63,XAUUSD,SELL,2026-07-31 17:05:00+00:00,4041.58,4062.6324312159527,4012.106596297666,3995.2646513249038,4062.6324312159527,21.05243121595276,29.473403702333858,46.315348675096075,0.03,0.01,0.02,False,False,False,5348.180382877483,2026-08-02 22:00:00+00:00,4075.13,EOD_EXIT,3175.0,-33.55,-67.1,0.15,-100.8,5247.38,-1.8847531830212234
64,XAUUSD,SELL,2026-08-03 17:05:00+00:00,4034.4700000000003,4054.183036821655,4006.8717484496833,3991.101318992359,4054.183036821655,19.71303682165494,27.598251550316913,43.368681007640866,0.03,0.01,0.02,False,False,False,5247.380382877483,2026-08-03 19:25:00+00:00,4054.183036821655,SL,140.0,-19.71,-39.43,0.15,-59.29,5188.09,-1.1298971234002175
65,NAS100,BUY,2026-08-03 20:10:00+00:00,28804.0,28633.753482712655,29059.369775931016,29144.493034574687,28633.753482712655,170.24651728734406,255.36977593101608,340.4930345746881,0.03,0.01,0.02,False,False,False,5188.091272412517,2026-08-03 22:00:00+00:00,28821.2,EOD_EXIT,110.0,1.72,3.44,0.15,5.01,5193.1,0.09656730648977763
66,XAUUSD,BUY,2026-08-04 15:40:00+00:00,4084.34,4063.2110373592195,4113.920547697093,4130.823717809718,4063.2110373592195,21.12896264078066,29.58054769709292,46.483717809717454,0.02,0.01,0.01,False,False,False,5193.101272412518,2026-08-04 22:00:00+00:00,4078.32,EOD_EXIT,380.0,-6.02,-6.02,0.1,-12.14,5180.96,-0.23377167829350298
67,XAUUSD,BUY,2026-08-05 11:00:00+00:00,4164.3,4142.563331247209,4194.731336253908,4212.120671256141,4164.3,21.736668752791065,30.43133625390749,47.82067125614034,0.02,0.01,0.01,True,True,True,5180.961272412517,2026-08-05 12:20:00+00:00,4212.120671256141,FULL_TP2,80.0,30.43,47.82,0.1,78.15,5259.11,1.5084073377682172
68,NAS100,BUY,2026-08-05 11:00:00+00:00,29793.199999999997,29667.598003360235,29981.60299495964,30044.403993279524,29667.598003360235,125.6019966397626,188.4029949596439,251.2039932795252,0.04,0.02,0.02,False,False,False,5180.961272412517,2026-08-05 15:15:00+00:00,29667.598003360235,SL,255.0,-25.12,-25.12,0.2,-50.44,5208.67,-0.9735645056561595
69,XAUUSD,BUY,2026-08-05 16:35:00+00:00,4243.9,4215.7188170345125,4283.353656151681,4305.898602524071,4215.7188170345125,28.18118296548686,39.453656151681606,61.9986025240711,0.02,0.01,0.01,False,False,False,5208.67248126666,2026-08-05 22:00:00+00:00,4249.1,EOD_EXIT,325.0,5.2,5.2,0.1,10.3,5218.97,0.1977471234185801
70,NAS100,SELL,2026-08-06 06:00:00+00:00,29443.9,29581.25468100812,29237.86797848783,29169.19063798377,29443.9,137.3546810081157,206.03202151217357,274.7093620162314,0.04,0.02,0.02,True,True,True,5218.972481266661,2026-08-06 13:30:00+00:00,29169.19063798377,FULL_TP2,450.0,41.21,54.94,0.2,95.95,5314.92,1.8384844975598078
71,NAS100,SELL,2026-08-06 15:55:00+00:00,29409.0,29571.24171365308,29165.637429520382,29084.516572693843,29571.24171365308,162.24171365307777,243.36257047961664,324.48342730615553,0.03,0.01,0.02,False,False,False,5314.920757972342,2026-08-06 22:00:00+00:00,29417.7,EOD_EXIT,365.0,-0.87,-1.74,0.15,-2.76,5312.16,-0.051929278453681935
72,NAS100,BUY,2026-08-07 11:05:00+00:00,29539.6,29427.4535368902,29707.819694664693,29763.892926219592,29539.6,112.14646310979737,168.21969466469605,224.29292621959473,0.05,0.03,0.02,True,True,True,5312.160757972341,2026-08-07 12:50:00+00:00,29763.892926219592,FULL_TP2,105.0,50.47,44.86,0.25,95.07,5407.24,1.7896672245342278
