trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
134,US30,BUY,2026-05-01 14:00:00+00:00,50014.7,49941.24711836104,50102.84345796675,50146.91518695012,49941.24711836104,73.45288163895977,88.14345796675171,132.21518695012756,0.07,0.04,0.03,False,False,False,5559.71,2026-05-01 14:25:00+00:00,49941.24711836104,25.0,SL,0.0,0.0,0.35,-50.35,5509.36
135,US30,SELL,2026-05-04 06:35:00+00:00,49503.7,49576.429674752835,49416.42439029659,49372.78658544489,49503.7,72.72967475283627,87.27560970340353,130.91341455510528,0.07,0.04,0.03,True,False,False,5509.36,2026-05-04 10:00:00+00:00,49372.78658544489,205.0,FULL_TP2,34.91,39.27,0.35,73.83,5583.19
136,US30,SELL,2026-05-04 15:00:00+00:00,49306.7,49398.148149848574,49196.962220181704,49142.09333027255,49398.148149848574,91.44814984857965,109.73777981829558,164.60666972744335,0.05,0.03,0.02,False,False,False,5583.19,2026-05-04 15:20:00+00:00,49142.09333027255,20.0,FULL_TP2,32.92,32.92,0.25,65.59,5648.78
137,US30,SELL,2026-05-04 17:50:00+00:00,49072.7,49178.57519043066,48945.6497714832,48882.124657224806,49072.7,105.87519043066307,127.05022851679567,190.5753427751935,0.05,0.03,0.02,True,False,False,5648.78,2026-05-04 22:00:00+00:00,49010.7,250.0,EOD_CLOSE,38.12,12.4,0.25,50.27,5699.05
138,US30,SELL,2026-05-05 06:20:00+00:00,49021.7,49092.39862713173,48936.86164744192,48894.442471162874,49092.39862713173,70.69862713173386,84.83835255808063,127.25752883712093,0.07,0.04,0.03,False,False,False,5699.05,2026-05-05 06:55:00+00:00,49092.39862713173,35.0,SL,0.0,0.0,0.35,-50.35,5648.7
139,US30,SELL,2026-05-05 11:00:00+00:00,49076.5,49142.54576947779,48997.24507662665,48957.617614939976,49142.54576947779,66.04576947779002,79.25492337334802,118.88238506002202,0.08,0.04,0.04,False,False,False,5648.7,2026-05-05 11:35:00+00:00,49142.54576947779,35.0,SL,0.0,0.0,0.4,-50.4,5598.3
140,US30,BUY,2026-05-05 16:05:00+00:00,49247.1,49166.741700692575,49343.52995916891,49391.74493875336,49247.1,80.35829930742592,96.42995916891111,144.64493875336666,0.06,0.03,0.03,True,False,False,5598.3,2026-05-05 22:00:00+00:00,49285.5,355.0,EOD_CLOSE,28.93,11.52,0.3,40.15,5638.45
141,US30,BUY,2026-05-06 07:15:00+00:00,49435.5,49373.42142412748,49509.99429104703,49547.24143657053,49373.42142412748,62.07857587252002,74.49429104702402,111.74143657053602,0.08,0.04,0.04,False,False,False,5638.45,2026-05-06 08:50:00+00:00,49547.24143657053,95.0,FULL_TP2,29.8,44.7,0.4,74.09,5712.54
142,US30,BUY,2026-05-06 17:55:00+00:00,49887.0,49784.21390795971,50010.34331044835,50072.01496567252,49887.0,102.78609204028774,123.34331044834528,185.01496567251792,0.05,0.03,0.02,True,False,False,5712.54,2026-05-06 22:00:00+00:00,49937.7,245.0,EOD_CLOSE,37.0,10.14,0.25,46.89,5759.43
143,US30,BUY,2026-05-07 06:30:00+00:00,50048.0,49980.81419548027,50128.622965423674,50168.93444813551,50048.0,67.18580451972683,80.6229654236722,120.93444813550828,0.07,0.04,0.03,True,False,False,5759.43,2026-05-07 07:50:00+00:00,50048.0,80.0,TP1_THEN_BE,32.25,0.0,0.35,31.9,5791.33
144,US30,BUY,2026-05-07 11:00:00+00:00,50029.0,49961.12164031813,50110.45403161825,50151.181047427366,49961.12164031813,67.87835968187164,81.45403161824596,122.18104742736895,0.07,0.04,0.03,False,False,False,5791.33,2026-05-07 13:30:00+00:00,50151.181047427366,150.0,FULL_TP2,32.58,36.65,0.35,68.89,5860.22
145,US30,SELL,2026-05-07 20:45:00+00:00,49601.0,49700.581559662,49481.5021284056,49421.7531926084,49700.581559662,99.58155966200036,119.49787159440042,179.24680739160064,0.05,0.03,0.02,False,False,False,5860.22,2026-05-07 22:00:00+00:00,49558.0,75.0,EOD_CLOSE,12.9,8.6,0.25,21.25,5881.47
146,US30,SELL,2026-05-08 07:10:00+00:00,49664.0,49739.51524578234,49573.38170506119,49528.07255759178,49739.51524578234,75.51524578234273,90.61829493881127,135.9274424082169,0.07,0.04,0.03,False,False,False,5881.47,2026-05-08 09:00:00+00:00,49739.51524578234,110.0,SL,0.0,0.0,0.35,-50.35,5831.12
147,US30,SELL,2026-05-08 18:40:00+00:00,49595.5,49675.20839597871,49499.84992482555,49452.024887238316,49675.20839597871,79.70839597871353,95.65007517445623,143.47511276168433,0.06,0.03,0.03,False,False,False,5831.12,2026-05-10 22:00:00+00:00,49452.024887238316,3080.0,FULL_TP2,28.7,43.04,0.3,71.44,5902.56
148,US30,BUY,2026-05-11 16:35:00+00:00,49673.0,49596.50051179961,49764.79938584046,49810.69907876069,49673.0,76.49948820038504,91.79938584046205,137.69907876069306,0.07,0.04,0.03,True,False,False,5902.56,2026-05-11 18:50:00+00:00,49673.0,135.0,TP1_THEN_BE,36.72,0.0,0.35,36.37,5938.93
149,US30,BUY,2026-05-11 19:55:00+00:00,49740.0,49656.32340540224,49840.41191351731,49890.617870275964,49656.32340540224,83.67659459775729,100.41191351730875,150.6178702759631,0.06,0.03,0.03,False,False,False,5938.93,2026-05-11 22:00:00+00:00,49748.0,125.0,EOD_CLOSE,2.4,2.4,0.3,4.5,5943.43
