trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
42,GBPJPY,SELL,2026-02-11 12:35:00+00:00,208.824,209.08131162972433,208.51522604433086,208.36083906649628,209.08131162972433,0.2573116297242998,0.3087739556691597,0.46316093350373955,0.3,0.15,0.15,False,False,False,5753.21,2026-02-11 12:40:00+00:00,209.08131162972433,SL,5.0,0.0,0.0,1.5,-51.5,5701.71
43,GBPJPY,SELL,2026-02-12 19:35:00+00:00,208.196,208.54707622336198,207.7747085319656,207.5640627979484,208.54707622336198,0.3510762233619986,0.4212914680343983,0.6319372020515974,0.22,0.11,0.11,False,False,False,5701.71,2026-02-12 21:05:00+00:00,208.017,EOD_CLOSE,90.0,12.83,12.83,1.1,24.56,5726.27
44,GBPJPY,BUY,2026-02-13 14:10:00+00:00,208.805,208.48949770270366,209.18360275675565,209.37290413513347,208.48949770270366,0.3155022972963608,0.378602756755633,0.5679041351334494,0.24,0.12,0.12,False,False,False,5726.27,2026-02-13 14:20:00+00:00,208.48949770270366,SL,10.0,0.0,0.0,1.2,-51.2,5675.07
45,GBPJPY,SELL,2026-02-13 18:35:00+00:00,208.466,208.77890136175245,208.09051836589708,207.90277754884565,208.77890136175245,0.31290136175242933,0.3754816341029152,0.5632224511543727,0.25,0.12,0.13,False,False,False,5675.07,2026-02-15 21:05:00+00:00,208.317,EOD_CLOSE,3030.0,11.65,12.62,1.25,23.02,5698.09
46,GBPJPY,BUY,2026-02-16 14:05:00+00:00,209.175,208.95237106876246,209.4421547174851,209.5757320762276,208.95237106876246,0.2226289312375597,0.26715471748507164,0.4007320762276074,0.34,0.17,0.17,False,False,False,5698.09,2026-02-16 21:05:00+00:00,209.172,EOD_CLOSE,420.0,-0.33,-0.33,1.7,-2.36,5695.72
47,GBPJPY,SELL,2026-02-17 10:30:00+00:00,207.876,208.13832334578498,207.561211985058,207.403817977587,207.876,0.26232334578499045,0.31478801494198855,0.47218202241298274,0.29,0.14,0.15,True,False,False,5695.72,2026-02-17 11:45:00+00:00,207.403817977587,FULL_TP2,75.0,28.71,46.14,1.45,73.41,5769.13
48,GBPJPY,SELL,2026-02-17 19:00:00+00:00,207.809,208.06051377178977,207.50718347385225,207.3562752107784,208.06051377178977,0.2515137717897818,0.30181652614773813,0.4527247892216072,0.31,0.15,0.16,False,False,False,5769.13,2026-02-17 21:05:00+00:00,207.837,EOD_CLOSE,125.0,-2.74,-2.92,1.55,-7.21,5761.92
49,GBPJPY,BUY,2026-02-18 06:15:00+00:00,208.197,207.99500789458838,208.43939052649392,208.5605857897409,208.197,0.20199210541161247,0.24239052649393494,0.3635857897409024,0.38,0.19,0.19,True,False,False,5761.92,2026-02-18 07:55:00+00:00,208.5605857897409,FULL_TP2,100.0,30.0,45.01,1.9,73.11,5835.03
50,GBPJPY,BUY,2026-02-18 11:10:00+00:00,208.705,208.50295036667276,208.94745955999272,209.06868933998905,208.50295036667276,0.20204963332724868,0.24245955999269841,0.36368933998904757,0.38,0.19,0.19,False,False,False,5835.03,2026-02-18 11:35:00+00:00,208.50295036667276,SL,25.0,0.0,0.0,1.9,-51.9,5783.13
51,GBPJPY,BUY,2026-02-18 17:25:00+00:00,209.063,208.84318570602613,209.3267771527686,209.4586657291529,208.84318570602613,0.21981429397384622,0.26377715276861546,0.39566572915292314,0.35,0.17,0.18,False,False,False,5783.13,2026-02-18 18:00:00+00:00,208.84318570602613,SL,35.0,0.0,0.0,1.75,-51.75,5731.38
